[72.4333, 59.2761, 38.6317, 0, 0, 3.3401, 70.6234, 63.1905, 0, 66.6187, 0, 0, 23.737, 58.9607, 0, 0, 0, 0, 0, 0, 0, 73.6453, 27.2327, 18.8395, 98.6374]
[0, 2.7179, 13.499, 0, 20.9605, 0, 44.6898, 0, 0, 0, 23.3639, 23.737, 0, 0, 0, 71.2161, 0, 87.3467, 10.9854, 0, 0, 37.1694, 74.8783, 74.6648, 11.6838]
[82.2325, 0, 22.0685, 0, 0, 9.1056, 77.7342, 0, 93.3355, 69.0581, 99.8365, 58.9607, 0, 0, 0, 74.0806, 38.9078, 55.7311, 0, 61.2819, 18.989, 66.149, 19.2092, 0, 7.8192]
[3.2623, 0, 17.8607, 27.4376, 90.1983, 0, 0, 0, 0, 7.7663, 0, 0, 0, 0, 0, 0, 75.0064, 0, 0, 33.6775, 0, 76.3892, 76.3923, 91.6722, 89.089]
[0, 0, 0, 0, 60.0911, 21.9403, 30.8181, 0, 0, 63.0472, 6.1625, 0, 71.2161, 74.0806, 0, 0, 0, 0, 70.4121, 0, 13.6676, 98.2508, 0, 0, 29.9091]
[0, 0, 0, 0, 0, 0, 0, 66.1978, 77.1938, 0, 0, 0, 0, 38.9078, 75.0064, 0, 0, 0, 0, 0, 8.031, 0, 0, 35.7311, 73.9558]
[33.6415, 0, 5.6753, 89.5347, 52.8955, 0, 83.2467, 0, 0, 0, 0, 0, 87.3467, 55.7311, 0, 0, 0, 0, 11.1039, 0, 1.0152, 1.2697, 10.4973, 73.8165, 45.0792]
[0, 56.2039, 45.674, 3.0186, 0, 21.6684, 46.6984, 11.681, 41.6265, 61.1709, 0, 0, 10.9854, 0, 0, 70.4121, 0, 11.1039, 0, 0, 10.6487, 34.7809, 0, 38.5293, 78.002]
[0, 41.9454, 52.2879, 0, 0, 0, 0, 80.197, 0, 0, 25.8095, 0, 0, 61.2819, 33.6775, 0, 0, 0, 0, 0, 1.6587, 0, 0, 0.757, 0]
[36.9359, 0, 15.0545, 89.869, 29.6413, 8.2287, 64.7134, 65.4327, 77.0665, 0, 0, 0, 0, 18.989, 0, 13.6676, 8.031, 1.0152, 10.6487, 1.6587, 0, 0, 0, 91.3209, 68.9332]
[63.2192, 28.0982, 0, 0, 7.6263, 95.4472, 73.6639, 68.101, 45.5804, 0, 86.3687, 73.6453, 37.1694, 66.149, 76.3892, 98.2508, 0, 1.2697, 34.7809, 0, 0, 0, 78.5256, 61.7157, 0]
[96.0758, 47.1369, 0, 0, 19.4421, 72.6282, 0, 0, 0, 71.2985, 42.5464, 27.2327, 74.8783, 19.2092, 76.3923, 0, 0, 10.4973, 0, 0, 0, 78.5256, 0, 0, 9.0322]
[65.4827, 35.8357, 0, 0, 6.9935, 45.957, 0, 0, 0, 0, 0, 18.8395, 74.6648, 0, 91.6722, 0, 35.7311, 73.8165, 38.5293, 0.757, 91.3209, 61.7157, 0, 0, 37.8344]
[41.7703, 20.6051, 1.8643, 84.1783, 0, 64.0586, 64.0749, 28.2753, 53.0273, 46.1684, 56.9714, 98.6374, 11.6838, 7.8192, 89.089, 29.9091, 73.9558, 45.0792, 78.002, 0, 68.9332, 0, 9.0322, 37.8344, 0]
